exp_id,agent,space,step,collided
2,dqn,symmetric_2_space,239,True
2,dqn,symmetric_2_space,240,True
2,dqn,symmetric_2_space,241,True
2,dqn,symmetric_2_space,242,True
2,dqn,symmetric_2_space,243,True
2,dqn,symmetric_2_space,244,True
2,dqn,symmetric_2_space,245,True
2,dqn,symmetric_2_space,246,True
2,dqn,symmetric_2_space,247,True
2,dqn,symmetric_2_space,248,True
2,dqn,symmetric_2_space,249,True
2,dqn,symmetric_2_space,250,True
2,dqn,symmetric_2_space,251,True
2,dqn,symmetric_2_space,252,True
2,dqn,symmetric_2_space,253,True
2,dqn,symmetric_2_space,254,True
2,dqn,symmetric_2_space,255,True
2,dqn,symmetric_2_space,256,True
2,dqn,symmetric_2_space,257,True
2,dqn,symmetric_2_space,258,True
2,dqn,symmetric_2_space,259,True
2,dqn,symmetric_2_space,260,True
2,dqn,symmetric_2_space,261,True
2,dqn,symmetric_2_space,262,True
2,dqn,symmetric_2_space,263,True
2,dqn,symmetric_2_space,264,True
2,dqn,symmetric_2_space,265,True
2,dqn,symmetric_2_space,266,True
2,dqn,symmetric_2_space,267,True
2,dqn,symmetric_2_space,268,True
2,dqn,symmetric_2_space,269,True
2,dqn,symmetric_2_space,270,True
2,dqn,symmetric_2_space,271,True
2,dqn,symmetric_2_space,272,True
2,dqn,symmetric_2_space,273,True
2,dqn,symmetric_2_space,274,True
2,dqn,symmetric_2_space,275,True
2,dqn,symmetric_2_space,276,True
2,dqn,symmetric_2_space,277,True
2,dqn,symmetric_2_space,278,True
2,dqn,symmetric_2_space,279,True
2,dqn,symmetric_2_space,280,True
2,dqn,symmetric_2_space,281,True
2,dqn,symmetric_2_space,282,True
2,dqn,symmetric_2_space,283,True
2,dqn,symmetric_2_space,284,True
2,dqn,symmetric_2_space,285,True
2,dqn,symmetric_2_space,286,True
2,dqn,symmetric_2_space,287,True
2,dqn,symmetric_2_space,288,True
2,dqn,symmetric_2_space,289,True
2,dqn,symmetric_2_space,290,True
2,dqn,symmetric_2_space,291,True
2,dqn,symmetric_2_space,292,True
2,dqn,symmetric_2_space,293,True
2,dqn,symmetric_2_space,294,True
2,dqn,symmetric_2_space,295,True
2,dqn,symmetric_2_space,296,True
2,dqn,symmetric_2_space,297,True
2,dqn,symmetric_2_space,298,True
2,dqn,symmetric_2_space,299,True
2,dqn,symmetric_2_space,300,True
2,dqn,symmetric_2_space,301,True
2,dqn,symmetric_2_space,302,True
2,dqn,symmetric_2_space,303,True
2,dqn,symmetric_2_space,304,True
2,dqn,symmetric_2_space,305,True
2,dqn,symmetric_2_space,306,True
2,dqn,symmetric_2_space,307,True
2,dqn,symmetric_2_space,308,True
2,dqn,symmetric_2_space,309,True
2,dqn,symmetric_2_space,310,True
2,dqn,symmetric_2_space,311,True
2,dqn,symmetric_2_space,312,True
2,dqn,symmetric_2_space,313,True
2,dqn,symmetric_2_space,314,True
2,dqn,symmetric_2_space,315,True
2,dqn,symmetric_2_space,316,True
2,dqn,symmetric_2_space,317,True
2,dqn,symmetric_2_space,318,True
2,dqn,symmetric_2_space,319,True
2,dqn,symmetric_2_space,320,True
2,dqn,symmetric_2_space,321,True
2,dqn,symmetric_2_space,322,True
2,dqn,symmetric_2_space,323,True
2,dqn,symmetric_2_space,324,True
2,dqn,symmetric_2_space,325,True
2,dqn,symmetric_2_space,326,True
2,dqn,symmetric_2_space,327,True
2,dqn,symmetric_2_space,328,True
2,dqn,symmetric_2_space,329,True
2,dqn,symmetric_2_space,330,True
2,dqn,symmetric_2_space,331,True
2,dqn,symmetric_2_space,332,True
2,dqn,symmetric_2_space,333,True
2,dqn,symmetric_2_space,334,True
2,dqn,symmetric_2_space,335,True
2,dqn,symmetric_2_space,336,True
2,dqn,symmetric_2_space,337,True
2,dqn,symmetric_2_space,338,True
2,dqn,symmetric_2_space,339,True
2,dqn,symmetric_2_space,340,True
2,dqn,symmetric_2_space,341,True
2,dqn,symmetric_2_space,342,True
2,dqn,symmetric_2_space,343,True
2,dqn,symmetric_2_space,344,True
2,dqn,symmetric_2_space,345,True
2,dqn,symmetric_2_space,346,True
2,dqn,symmetric_2_space,347,True
2,dqn,symmetric_2_space,348,True
2,dqn,symmetric_2_space,349,True
2,dqn,symmetric_2_space,350,True
2,dqn,symmetric_2_space,351,True
2,dqn,symmetric_2_space,352,True
2,dqn,symmetric_2_space,353,True
2,dqn,symmetric_2_space,354,True
2,dqn,symmetric_2_space,355,True
2,dqn,symmetric_2_space,356,True
2,dqn,symmetric_2_space,357,True
2,dqn,symmetric_2_space,358,True
2,dqn,symmetric_2_space,359,True
2,dqn,symmetric_2_space,360,True
2,dqn,symmetric_2_space,361,True
2,dqn,symmetric_2_space,362,True
2,dqn,symmetric_2_space,363,True
2,dqn,symmetric_2_space,364,True
2,dqn,symmetric_2_space,365,True
2,dqn,symmetric_2_space,366,True
2,dqn,symmetric_2_space,367,True
2,dqn,symmetric_2_space,368,True
2,dqn,symmetric_2_space,369,True
2,dqn,symmetric_2_space,370,True
2,dqn,symmetric_2_space,371,True
2,dqn,symmetric_2_space,372,True
2,dqn,symmetric_2_space,373,True
2,dqn,symmetric_2_space,374,True
2,dqn,symmetric_2_space,375,True
2,dqn,symmetric_2_space,376,True
2,dqn,symmetric_2_space,377,True
2,dqn,symmetric_2_space,378,True
2,dqn,symmetric_2_space,379,True
2,dqn,symmetric_2_space,380,True
2,dqn,symmetric_2_space,381,True
2,dqn,symmetric_2_space,382,True
2,dqn,symmetric_2_space,383,True
2,dqn,symmetric_2_space,384,True
2,dqn,symmetric_2_space,385,True
2,dqn,symmetric_2_space,386,True
2,dqn,symmetric_2_space,387,True
2,dqn,symmetric_2_space,388,True
2,dqn,symmetric_2_space,389,True
2,dqn,symmetric_2_space,390,True
2,dqn,symmetric_2_space,391,True
2,dqn,symmetric_2_space,392,True
2,dqn,symmetric_2_space,393,True
2,dqn,symmetric_2_space,394,True
2,dqn,symmetric_2_space,395,True
2,dqn,symmetric_2_space,396,True
2,dqn,symmetric_2_space,397,True
2,dqn,symmetric_2_space,398,True
2,dqn,symmetric_2_space,399,True
2,dqn,symmetric_2_space,400,True
2,dqn,symmetric_2_space,401,True
2,dqn,symmetric_2_space,402,True
2,dqn,symmetric_2_space,403,True
2,dqn,symmetric_2_space,404,True
2,dqn,symmetric_2_space,405,True
2,dqn,symmetric_2_space,406,True
2,dqn,symmetric_2_space,407,True
2,dqn,symmetric_2_space,408,True
2,dqn,symmetric_2_space,409,True
2,dqn,symmetric_2_space,410,True
2,dqn,symmetric_2_space,411,True
2,dqn,symmetric_2_space,412,True
2,dqn,symmetric_2_space,413,True
2,dqn,symmetric_2_space,414,True
2,dqn,symmetric_2_space,415,True
2,dqn,symmetric_2_space,416,True
2,dqn,symmetric_2_space,417,True
2,dqn,symmetric_2_space,418,True
2,dqn,symmetric_2_space,419,True
2,dqn,symmetric_2_space,420,True
2,dqn,symmetric_2_space,421,True
2,dqn,symmetric_2_space,422,True
2,dqn,symmetric_2_space,423,True
2,dqn,symmetric_2_space,424,True
2,dqn,symmetric_2_space,425,True
2,dqn,symmetric_2_space,426,True
2,dqn,symmetric_2_space,427,True
2,dqn,symmetric_2_space,428,True
2,dqn,symmetric_2_space,429,True
2,dqn,symmetric_2_space,430,True
2,dqn,symmetric_2_space,431,True
2,dqn,symmetric_2_space,432,True
2,dqn,symmetric_2_space,433,True
2,dqn,symmetric_2_space,434,True
2,dqn,symmetric_2_space,435,True
2,dqn,symmetric_2_space,436,True
2,dqn,symmetric_2_space,437,True
2,dqn,symmetric_2_space,438,True
2,dqn,symmetric_2_space,439,True
2,dqn,symmetric_2_space,440,True
2,dqn,symmetric_2_space,441,True
2,dqn,symmetric_2_space,442,True
2,dqn,symmetric_2_space,443,True
2,dqn,symmetric_2_space,444,True
2,dqn,symmetric_2_space,445,True
