exp_id,agent,space,step,loc_x,lox_y
2,dqn,symmetric_2_space,116,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,117,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,118,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,119,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,120,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,121,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,122,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,123,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,124,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,125,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,126,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,127,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,128,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,129,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,130,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,131,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,132,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,133,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,134,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,135,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,136,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,137,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,138,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,139,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,140,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,141,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,142,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,143,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,144,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,145,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,146,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,147,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,148,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,149,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,150,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,151,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,152,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,153,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,154,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,155,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,156,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,157,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,158,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,159,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,160,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,161,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,162,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,163,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,164,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,165,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,166,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,167,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,168,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,169,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,170,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,171,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,172,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,173,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,174,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,175,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,176,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,177,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,178,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,179,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,180,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,181,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,182,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,183,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,184,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,185,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,186,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,187,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,188,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,189,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,190,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,191,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,192,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,193,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,194,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,195,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,196,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,197,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,198,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,199,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,200,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,201,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,202,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,203,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,204,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,205,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,206,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,207,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,208,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,209,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,210,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,211,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,212,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,213,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,214,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,215,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,216,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,217,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,218,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,219,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,220,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,221,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,222,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,223,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,224,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,225,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,226,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,227,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,228,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,229,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,230,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,231,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,232,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,233,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,234,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,235,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,236,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,237,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,238,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,239,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,240,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,241,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,242,3.3585786437626908,19.6999
2,dqn,symmetric_2_space,243,3.3585786437626908,19.6999
